Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
64.4603 -0.423686 0.238865 0.56643 -25.3573 21.4802 55.2335
46.3541 0.423658 0.396054 0.544338 24.6928 23.2784 31.5767
71.7479 -0.391631 0.308173 0.556689 -34.6849 12.9663 61.454
62.7053 -0.493787 1.01066 0.457961 -18.0471 56.7562 19.6213
44.3258 0.0115767 -0.292713 0.641138 -7.18293 -31.0604 30.7966
53.7234 -0.357964 -0.0476369 0.606695 -30.0021 -4.85805 44.2999
67.8097 0.383483 0.00601239 0.599155 40.8195 -5.39489 53.8778
39.8218 -0.868368 0.128358 0.58196 -28.1232 6.28545 27.4837
33.7683 0.0806425 0.775068 0.491071 12.379 27.2651 15.6101
59.1599 -0.0271485 0.448859 0.536917 6.33639 28.928 51.2145
64.6407 -0.27264 0.949568 0.466547 -32.4103 51.8668 20.9243
69.9132 -0.261259 0.559206 0.521409 -5.72051 58.3904 38.0221
58.7196 0.0479199 0.449893 0.536772 4.4771 37.8276 44.6881
60.8062 -0.149499 0.729421 0.497487 0.657522 55.8839 23.9574
39.2101 -0.109244 0.356094 0.549954 -1.03578 13.8896 36.6529
49.3746 -0.50808 0.379994 0.546595 -39.8204 6.53859 28.4505
69.9579 -0.00856879 0.178743 0.574879 -4.16403 17.1992 67.6828
41.1972 -0.28954 0.70829 0.500456 -18.4764 31.1188 19.6838
57.6306 -0.484636 0.0868243 0.587798 -47.1339 -7.98579 32.1855
50.8418 0.27535 0.54078 0.523998 26.1186 33.4324 28.0175
50.1994 0.381549 0.247757 0.56518 18.0593 6.41561 46.397
46.327 0.090404 0.562152 0.520995 2.50464 29.9487 35.2561
45.3786 0.0415064 0.264352 0.562848 20.0765 26.8722 30.5619
59.0925 -0.0822348 0.802413 0.487228 -1.04401 54.7395 22.2358
68.671 -0.0209791 0.373806 0.547465 -21.7893 29.0332 58.2923
36.6336 0.769408 0.276887 0.561086 31.4768 0.667133 18.7294
32.6208 0.0311718 0.327642 0.553953 -19.6345 5.9851 25.3531
61.1419 0.0937169 -0.607195 0.685336 9.94438 -48.4585 35.9336
55.9533 0.383207 0.623858 0.512323 24.1255 41.4107 28.877
76.2599 0.163398 0.00224239 0.599685 34.3022 -11.3273 67.1613
61.6509 0.119343 -0.334731 0.647043 -11.5051 -25.9367 54.7335
67.8803 0.314286 -0.0736536 0.610351 28.6917 -35.0356 50.5671
59.4829 0.242514 1.02544 0.455884 19.7295 52.5096 19.7915
53.249 -0.0606449 -0.154567 0.621723 4.63954 0.349358 53.0453
33.9345 -0.151947 0.0041912 0.599411 -9.80152 -17.3796 27.4487
48.093 0.160501 0.287518 0.559592 4.17706 32.662 35.0525
49.516 -0.364042 1.07614 0.448759 -10.9382 46.6502 12.4878
45.5639 -0.202934 -0.108915 0.615307 -11.7887 -18.392 39.9854
45.6614 0.0632469 0.36448 0.548776 5.14174 10.4474 44.1518
48.2818 0.825514 1.02111 0.456492 29.387 35.9677 13.1856
54.188 0.465406 0.0158923 0.597766 37.7942 -20.9805 32.6765
50.7364 -0.344962 0.5981 0.515942 -30.7857 27.0865 29.8789
69.3477 0.772773 0.59227 0.516762 53.8646 29.7003 32.025
58.531 -0.0167995 0.212715 0.570105 -4.68916 10.4062 57.4073
48.1068 -0.889648 -0.134829 0.618949 -36.6488 -12.7644 28.4288
48.297 -0.0488827 -0.022127 0.60311 -16.0468 1.73959 45.52
61.4288 0.193609 -0.0476841 0.606702 24.9458 18.7746 52.903
31.0123 0.335311 0.426808 0.540016 22.5396 6.65738 20.2339
51.4901 -0.308841 -0.00696512 0.600979 -12.9459 -6.44268 49.4179
58.6823 0.546232 0.705789 0.500808 41.0948 37.1528 19.3519
45.5386 -0.154777 0.158913 0.577666 2.54458 -0.106052 45.4673
55.6534 0.211158 -0.167967 0.623606 5.46632 -0.747262 55.3792
56.8284 -0.116478 -0.286781 0.640304 -5.14863 -21.2415 52.4572
53.6425 -0.266081 -0.0611655 0.608596 -34.1862 -2.12771 41.2832
38.6639 0.216933 1.03268 0.454866 8.60712 35.4018 12.9431
70.9256 0.239895 0.189038 0.573433 1.67115 16.2295 69.0236
50.9887 0.260015 0.162134 0.577214 30.2573 -7.18035 40.4078
43.3132 -0.0111418 0.359075 0.549535 -8.61961 4.46115 42.2118
58.5852 -0.801385 0.0239072 0.59664 -52.5526 0.831401 25.8797
62.2291 0.59845 0.0895852 0.58741 51.2122 15.1173 31.9569
65.1931 0.0794969 -0.256131 0.635997 -7.69466 -45.703 45.8495
61.4512 0.0485831 0.552607 0.522336 19.4323 45.6573 36.2498
37.0691 -0.0778041 0.800308 0.487524 -0.353122 31.7864 19.0687
40.8197 -0.226942 0.572163 0.519588 -17.973 22.9796 28.551
58.1355 0.695755 0.709616 0.50027 42.751 33.8885 20.0913
54.8705 0.229838 -0.0550036 0.60773 0.422491 -26.7776 47.891
36.4505 0.0462462 0.103571 0.585444 9.78932 -10.3928 33.538
43.3773 -0.110208 -0.0524106 0.607366 -3.97118 -11.8608 41.5348
74.9662 0.0295311 1.01821 0.4569 -1.08103 70.3405 25.9032
42.5627 0.144798 0.500387 0.529675 -5.09472 25.8109 33.4578
65.1583 -0.405603 0.906591 0.472587 -31.7699 48.8608 29.136
25.79 -0.204342 0.388768 0.545362 -6.04541 9.7446 23.1002
48.5651 -0.380777 -0.985227 0.738465 -7.02172 -43.2625 20.9193
60.7782 0.232627 -0.0728716 0.610241 -4.01902 -6.32567 60.3144
53.2833 0.386537 0.520012 0.526917 20.507 30.9506 38.2182
47.6462 -0.0328812 0.500526 0.529656 6.13406 26.7768 38.9299
52.876 -0.551831 -1.37534 0.793291 -28.165 -38.9618 22.0133
53.8931 -0.40117 0.582474 0.518139 -21.0575 44.7581 21.3954
50.288 -0.502337 -0.0340407 0.604784 -35.3968 -12.7873 33.3532
50.2119 -0.2404 0.0713638 0.58997 -16.593 -21.5365 42.2147
51.9751 -0.0560774 0.0339316 0.595231 21.8078 -7.27076 46.6151
57.45 0.0869672 0.862488 0.478785 18.4822 49.5829 22.3708
50.904 0.286742 0.718637 0.499002 1.64467 44.8282 24.0612
42.8405 -0.248079 0.347437 0.551171 -13.1338 9.34369 39.6926
45.9774 -5.44581e-05 0.0652841 0.590825 11.0725 3.56154 44.4819
58.5489 0.0960116 0.151402 0.578722 19.3502 -7.29594 54.7751
